CV i vs E	0.1 Scan Rate of FCA. 
V	µA
6.24657E-05	-0.459100842
0.010062695	-0.373474479
0.020062923	-0.315911055
0.030063152	-0.269722939
0.040062904	-0.231972337
0.050063133	-0.198034286
0.060063362	-0.167408824
0.070063591	-0.140720963
0.08006382	-0.11490798
0.090064049	-0.091657639
0.100063801	-0.068469763
0.11006403	-0.049407005
0.120064259	-0.02840662
0.130064487	-0.009656429
0.140064716	0.00759387
0.150064945	0.024906635
0.160064697	0.041531801
0.170064926	0.058344603
0.180065155	0.074032307
0.190065384	0.088657618
0.200065613	0.103095293
0.210065842	0.117345572
0.220065594	0.132720709
0.230065823	0.146533489
0.240066051	0.161221266
0.25006628	0.17459631
0.260066509	0.188284159
0.270066738	0.203471899
0.280066967	0.216284513
0.290066719	0.231722355
0.300066948	0.245534897
0.310067177	0.260785103
0.320067406	0.276535511
0.330067635	0.292035818
0.340067863	0.308285952
0.350067616	0.32528615
0.360067844	0.342411518
0.370068073	0.36128664
0.380068302	0.382537127
0.390068531	0.404162407
0.40006876	0.42847538
0.410068512	0.45378828
0.420068741	0.480538607
0.43006897	0.510663986
0.440069199	0.542351961
0.450069427	0.576227665
0.460069656	0.612290621
0.470069885	0.649791241
0.480069637	0.686416626
0.490069866	0.727167368
0.500070095	0.767417908
0.510070324	0.81185627
0.520070553	0.862856865
0.530070782	0.915670156
0.540070534	0.979983807
0.550070763	1.061359882
0.560070992	1.166861534
0.57007122	1.304801226
0.580071449	1.489866495
0.590071678	1.750120401
0.60007143	2.114095688
0.610071659	2.632851601
0.620071888	3.362238407
0.630072117	4.394755363
0.640072346	5.872278214
0.650072575	7.954185009
0.660072327	10.83610296
0.670072556	14.72116232
0.680072784	19.84749079
0.690073013	26.4285326
0.700073242	34.26613808
0.710073471	43.36004257
0.7200737	53.39143276
0.730073452	63.87286186
0.740073681	74.09801483
0.75007391	83.51066113
0.760074139	91.26076698
0.770074368	96.86710835
0.780074596	99.80463982
0.790074348	100.0734091
0.800074577	98.19836617
0.810074806	94.87333298
0.820075035	90.82951546
0.830075264	86.6294384
0.840075493	82.60438442
0.850075245	78.87308598
0.860075474	75.49803257
0.870075703	72.48547077
0.880075932	69.76668835
0.89007616	67.39165783
0.900076389	65.23537636
0.910076618	63.3040905
0.92007637	61.56656742
0.930076599	59.99155045
0.940076828	58.57276917
0.950077057	57.27274418
0.960077286	56.08522892
0.970077515	54.97896671
0.980077267	53.97894382
0.990077496	53.04143429
1.000077724	52.17893124
1.010077953	51.37891769
1.020078182	50.63514709
1.030078411	49.92263317
1.040078163	49.23512936
1.050078392	48.61636162
1.060078621	48.03509712
1.07007885	47.47884274
1.080079079	46.96633816
1.090079308	46.49758339
1.10007906	46.03507519
1.110079288	45.5975771
1.120079517	45.16632557
1.130079746	44.77255344
1.140079975	44.42255497
1.150080204	44.04129982
1.160080433	43.72253418
1.170080185	43.45378876
1.180080414	43.13502312
1.190080643	42.87877083
1.200080872	42.59753227
1.190080643	41.81625843
1.180080414	41.19124413
1.170080185	40.66624641
1.160080433	40.20998478
1.150080204	39.72249031
1.140079975	39.35372829
1.130079746	38.99121284
1.120079517	38.59746456
